<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,15,02/03/20,10:00,238.5500000,238.9100000,237.2000000,238.3300000,4213270
SBER,15,02/03/20,10:15,238.2400000,238.5000000,236.5000000,237.1200000,2207360
SBER,15,02/03/20,10:30,237.0100000,238.0000000,237.0100000,238.0000000,1649640
SBER,15,02/03/20,10:45,237.9600000,238.9000000,237.8000000,238.4000000,2741520
SBER,15,02/03/20,11:00,238.2500000,240.8000000,238.1700000,240.6000000,4806760
SBER,15,02/03/20,11:15,240.6000000,241.0000000,239.5600000,239.7300000,2623090
SBER,15,02/03/20,11:30,239.7700000,240.8700000,239.4100000,240.5000000,1756590
SBER,15,02/03/20,11:45,240.4000000,240.6300000,238.3100000,238.4000000,2135290
SBER,15,02/03/20,12:00,238.3700000,238.5000000,237.0900000,237.3900000,1945830
SBER,15,02/03/20,12:15,237.3500000,238.4100000,237.0900000,237.4100000,1593140
SBER,15,02/03/20,12:30,237.3600000,237.6000000,236.7700000,236.8500000,1577050
SBER,15,02/03/20,12:45,236.8400000,237.9700000,236.6200000,237.8800000,1568230
SBER,15,02/03/20,13:00,237.8100000,237.8900000,236.1700000,236.4300000,1343770
SBER,15,02/03/20,13:15,236.4000000,237.5000000,236.3400000,236.8600000,1138650
SBER,15,02/03/20,13:30,236.8200000,237.4000000,236.6200000,236.9400000,880480
SBER,15,02/03/20,13:45,236.8700000,237.3200000,235.9700000,235.9700000,1151000
SBER,15,02/03/20,14:00,236.0000000,236.3000000,234.2100000,234.2700000,2165670
SBER,15,02/03/20,14:15,234.2100000,234.7000000,233.6000000,233.6900000,2387220
SBER,15,02/03/20,14:30,233.6300000,234.0800000,232.7500000,232.9800000,1746480
SBER,15,02/03/20,14:45,232.9000000,233.5000000,231.2700000,231.4700000,2648640
SBER,15,02/03/20,15:00,231.4000000,231.7500000,218.8600000,226.7300000,18186040
SBER,15,02/03/20,15:15,226.5200000,227.4700000,223.3600000,226.5700000,5244900
SBER,15,02/03/20,15:30,226.7000000,226.9000000,225.1800000,226.2700000,2620140
SBER,15,02/03/20,15:45,226.1300000,229.4500000,226.1200000,228.7200000,2926830
SBER,15,02/03/20,16:00,228.7200000,229.0000000,227.2100000,228.1400000,1984910
SBER,15,02/03/20,16:15,228.1000000,228.5400000,226.6100000,227.3400000,1498390
SBER,15,02/03/20,16:30,227.2700000,227.7000000,226.2200000,226.5800000,1578580
SBER,15,02/03/20,16:45,226.4700000,229.3000000,226.4000000,229.3000000,1838810
SBER,15,02/03/20,17:00,229.2500000,230.3700000,228.7000000,229.7800000,2819410
SBER,15,02/03/20,17:15,229.6900000,231.9800000,229.0500000,231.7000000,3247640
SBER,15,02/03/20,17:30,231.6800000,231.8500000,228.0700000,229.5500000,2790770
SBER,15,02/03/20,17:45,229.4200000,230.4000000,227.6900000,227.9100000,1712070
SBER,15,02/03/20,18:00,227.7800000,228.1900000,226.7100000,227.8600000,2211260
SBER,15,02/03/20,18:15,227.8600000,229.3700000,227.2200000,229.3100000,2195440
SBER,15,02/03/20,18:30,229.2700000,230.3300000,228.8900000,230.1800000,1825160
SBER,15,02/03/20,18:45,228.1700000,228.1700000,228.1700000,228.1700000,6728520
SBER,15,03/03/20,10:00,233.0000000,234.8900000,232.5600000,233.7100000,5664600
SBER,15,03/03/20,10:15,233.7700000,233.8800000,232.2800000,233.2000000,3436660
SBER,15,03/03/20,10:30,233.2000000,233.7500000,232.5300000,233.7400000,1695300
SBER,15,03/03/20,10:45,233.6400000,233.7500000,232.6500000,233.6500000,1167880
SBER,15,03/03/20,11:00,233.6600000,236.2000000,233.5100000,235.7500000,6763400
SBER,15,03/03/20,11:15,235.8300000,236.1800000,235.2600000,235.4400000,1577650
SBER,15,03/03/20,11:30,235.3700000,235.4900000,233.9900000,234.0400000,2493060
SBER,15,03/03/20,11:45,234.0400000,235.3000000,233.5500000,234.6600000,2186290
SBER,15,03/03/20,12:00,234.6500000,234.7400000,232.8000000,233.9500000,2041970
SBER,15,03/03/20,12:15,234.0100000,234.5400000,233.4400000,234.2600000,810000
SBER,15,03/03/20,12:30,234.2600000,234.7000000,233.8700000,234.3100000,594970
SBER,15,03/03/20,12:45,234.3900000,235.1800000,234.0200000,235.0300000,1042410
SBER,15,03/03/20,13:00,235.0300000,235.0900000,233.6100000,233.8000000,1063000
SBER,15,03/03/20,13:15,233.8500000,234.6700000,233.7700000,234.1000000,510610
SBER,15,03/03/20,13:30,234.2000000,234.5600000,233.8200000,234.0400000,427260
SBER,15,03/03/20,13:45,234.0200000,234.3200000,233.9400000,234.1400000,351780
SBER,15,03/03/20,14:00,234.1200000,234.3500000,233.6200000,233.9600000,869250
SBER,15,03/03/20,14:15,234.0300000,234.9000000,233.7200000,233.7500000,1112810
SBER,15,03/03/20,14:30,233.7500000,234.9000000,233.7300000,234.4500000,986620
SBER,15,03/03/20,14:45,234.5000000,234.8500000,234.1600000,234.6200000,618950
